ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
This will discard your edits.,This will discard your edits.,"/* The image edits, like crop, filters, etc */"
Total,Total,
Uploading book,Uploading book,
Uploading Images \n%lu / %lu,Uploading Images \n%lu / %lu,
View Item,View Item,/* View [basket] item */
WE HAVE RECEIVED\nYOUR ORDER,WE HAVE RECEIVED\nYOUR ORDER,
We'll send you confirmation and order updates.,We'll send you confirmation and order updates.,
We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,We'll send you confirmation and order updates. Uncheck this box to opt out of email campaigns.,
Yes,Yes,
Yes Please,Yes Please,
"Yes, remove it","Yes, remove it","/* Yes, remove [the photo] */"
You can add %d more for the same price.,You can add %d more for the same price.,
You need to authorize the app to access your Instagram account if you want to import photos from there.,You need to authorize the app to access your Instagram account if you want to import photos from there.,
You've only selected %d photo.,You've only selected %d photo.,
You've only selected %d photos.,You've only selected %d photos.,
You've selected %d photos.,You've selected %d photos.,
Your 15-16 digit card number,Your 15-16 digit card number,
Your card expiry date,Your card expiry date,
Your payment was not approved (transaction state: %@). Please try again.,Your payment was not approved (transaction state: %@). Please try again.,
Your Phone,Your Phone,"/* Device, not number */"
ZIP Code,ZIP Code,
